PlayerName,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore
DA Miller,2924.0,2101.0,134.0,123.0,207.0,139.17182294145644,0.0,0.0,0.0,0.0,146.20000000000002
DA Warner,6567.0,4702.0,236.0,184.0,663.0,139.6639727775415,0.0,12.0,0.16666666666666666,1.0,328.35
DAJ Bracewell,12.0,9.0,0.0,1.0,1.0,133.33333333333331,3.0,8.0,4.0,1.0,75.6
DB Das,304.0,261.0,16.0,22.0,23.0,116.47509578544062,0.0,0.0,0.0,0.0,15.200000000000001
DB Ravi Teja,375.0,317.0,9.0,25.0,35.0,118.29652996845425,1.0,9.333333333333334,3.0,2.0,43.75
DE Bollinger,21.0,23.0,1.0,4.0,1.0,91.30434782608695,38.0,7.21875,96.0,27.0,951.05
DG Nalkande,12.0,12.0,1.0,2.0,0.0,100.0,6.0,10.571428571428571,14.0,6.0,150.6
DH Yagnik,170.0,137.0,2.0,17.0,23.0,124.08759124087592,0.0,0.0,0.0,0.0,8.5
DJ Bravo,1560.0,1204.0,66.0,110.0,120.0,129.56810631229237,183.0,8.384615384615385,520.0,158.0,4653.0
DJ Harris,111.0,101.0,5.0,4.0,11.0,109.9009900990099,0.0,8.666666666666666,3.0,2.0,5.550000000000001
DJ Hooda,1466.0,1132.0,61.0,96.0,96.0,129.5053003533569,10.0,8.541554959785524,62.166666666666664,33.0,323.3
DJ Hussey,1322.0,1075.0,60.0,61.0,90.0,122.97674418604652,8.0,8.97160883280757,52.833333333333336,26.0,266.1
DJ Jacobs,92.0,98.0,4.0,7.0,10.0,93.87755102040816,0.0,0.0,0.0,0.0,4.6000000000000005
DJ Malan,26.0,26.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.3
DJ Mitchell,351.0,267.0,10.0,15.0,28.0,131.46067415730337,1.0,12.125,8.0,4.0,42.55
DJ Muthuswami,1.0,3.0,0.0,1.0,0.0,33.33333333333333,4.0,7.214285714285714,14.0,6.0,100.05
DJ Thornely,39.0,53.0,2.0,4.0,2.0,73.58490566037736,3.0,5.714285714285714,7.0,4.0,76.95
DJ Willey,53.0,62.0,0.0,5.0,7.0,85.48387096774194,6.0,7.555555555555555,36.0,11.0,152.65
DJG Sammy,295.0,241.0,18.0,20.0,15.0,122.40663900414938,11.0,8.898305084745763,39.333333333333336,19.0,289.75
