PlayerName,SoldPrice,Role,TeamName,Nationality,BasePrice,CappedStatus,AuctionYear,LastName_x,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore,LastName_y
Mustafizur Rahman,10000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2021,rahman,13.0,23.0,1.0,6.0,0.0,56.52173913043478,61.0,8.133949191685913,216.5,57.0,1525.65,rahman
Akash Singh,2000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2021,singh,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.869565217391305,23.0,7.0,125.0,singh
Sachin Baby,2000000,Batsman,Royal Challengers Bengaluru,Unknown,,Unknown,2021,baby,144.0,118.0,5.0,11.0,11.0,122.03389830508475,2.0,4.8,1.6666666666666667,2.0,57.2,baby
J Suchith,3000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2021,suchith,70.0,61.0,3.0,9.0,6.0,114.75409836065573,19.0,8.6,70.0,21.0,478.5,suchith
Simarjeet Singh,2000000,Bowler,Chennai Super Kings,Indian,,Unknown,2022,singh,7.0,8.0,0.0,3.0,0.0,87.5,9.0,8.633333333333333,30.0,10.0,225.35,singh
Mukesh Choudhary,2000000,Bowler,Chennai Super Kings,Indian,,Unknown,2022,choudhary,6.0,6.0,0.0,2.0,1.0,100.0,16.0,9.698924731182796,46.5,14.0,400.3,choudhary
Mustafizur Rahman,20000000,Bowler,Delhi Capitals,Overseas,,Unknown,2022,rahman,13.0,23.0,1.0,6.0,0.0,56.52173913043478,61.0,8.133949191685913,216.5,57.0,1525.65,rahman
Kuldeep Yadav,20000000,Bowler,Delhi Capitals,Indian,,Unknown,2022,yadav,183.0,216.0,3.0,32.0,16.0,84.72222222222221,87.0,8.206185567010309,291.0,82.0,2184.15,yadav
Mandeep Singh,11000000,Batsman,Delhi Capitals,Indian,,Unknown,2022,singh,1706.0,1388.0,38.0,97.0,176.0,122.91066282420748,0.0,13.0,2.0,2.0,85.30000000000001,singh
Lalit Yadav,6500000,All-Rounder,Delhi Capitals,Indian,,Unknown,2022,yadav,305.0,290.0,7.0,21.0,27.0,105.17241379310344,10.0,8.854166666666666,48.0,19.0,265.25,yadav
Gurkeerat Singh,5000000,All-Rounder,Gujarat Titans,Indian,,Unknown,2022,singh,511.0,422.0,11.0,32.0,55.0,121.09004739336493,5.0,7.461538461538462,13.0,6.0,150.55,singh
